Package,Provides,Requires
"gmp-6.3.0-4.fc42.x86_64.rpm","gmp = 1:6.3.0-4.fc42;gmp(x86-64) = 1:6.3.0-4.fc42;libgmp.so.10()(64bit)","libc.so.6()(64bit);libc.so.6(GLIBC_2.14)(64bit);libc.so.6(GLIBC_2.2.5)(64bit);libc.so.6(GLIBC_2.3)(64bit);libc.so.6(GLIBC_2.3.4)(64bit);libc.so.6(GLIBC_2.38)(64bit);libc.so.6(GLIBC_2.4)(64bit);libc.so.6(GLIBC_ABI_DT_RELR)(64bit);rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;rtld(GNU_HASH)"
"gnupg2-2.4.7-2.fc42.x86_64.rpm","config(gnupg2) = 2.4.7-2.fc42;dirmngr = 2.4.7-2.fc42;gnupg = 2.4.7-2.fc42;gnupg2 = 2.4.7-2.fc42;gnupg2(x86-64) = 2.4.7-2.fc42;gpg = 2.4.7-2.fc42","/usr/bin/sh;config(gnupg2) = 2.4.7-2.fc42;filesystem(unmerged-sbin-symlinks);libassuan.so.0()(64bit);libassuan.so.0(LIBASSUAN_1.0)(64bit);libbz2.so.1()(64bit);libc.so.6()(64bit);libc.so.6(GLIBC_2.14)(64bit);libc.so.6(GLIBC_2.15)(64bit);libc.so.6(GLIBC_2.17)(64bit);libc.so.6(GLIBC_2.2.5)(64bit);libc.so.6(GLIBC_2.25)(64bit);libc.so.6(GLIBC_2.3)(64bit);libc.so.6(GLIBC_2.3.2)(64bit);libc.so.6(GLIBC_2.3.4)(64bit);libc.so.6(GLIBC_2.32)(64bit);libc.so.6(GLIBC_2.33)(64bit);libc.so.6(GLIBC_2.34)(64bit);libc.so.6(GLIBC_2.38)(64bit);libc.so.6(GLIBC_2.4)(64bit);libc.so.6(GLIBC_2.7)(64bit);libc.so.6(GLIBC_ABI_DT_RELR)(64bit);libgcrypt >= 1.9.1;libgcrypt.so.20()(64bit);libgcrypt.so.20(GCRYPT_1.6)(64bit);libgnutls.so.30()(64bit);libgnutls.so.30(GNUTLS_3_4)(64bit);libgpg-error >= 1.46;libgpg-error.so.0()(64bit);libgpg-error.so.0(GPG_ERROR_1.0)(64bit);libksba.so.8()(64bit);libksba.so.8(KSBA_0.9)(64bit);liblber.so.2()(64bit);liblber.so.2(OPENLDAP_2.200)(64bit);libldap.so.2()(64bit);libldap.so.2(OPENLDAP_2.200)(64bit);libnpth.so.0()(64bit);libnpth.so.0(NPTH_1.0)(64bit);libreadline.so.8()(64bit);libsqlite3.so.0()(64bit);libtss2-esys.so.0()(64bit);libtss2-mu.so.0()(64bit);libtss2-rc.so.0()(64bit);libtss2-tctildr.so.0()(64bit);libz.so.1()(64bit);rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;rtld(GNU_HASH)"
"gnupg2-smime-2.4.7-2.fc42.x86_64.rpm","gnupg2-smime = 2.4.7-2.fc42;gnupg2-smime(x86-64) = 2.4.7-2.fc42","gnupg2(x86-64) = 2.4.7-2.fc42;libassuan.so.0()(64bit);libassuan.so.0(LIBASSUAN_1.0)(64bit);libc.so.6()(64bit);libc.so.6(GLIBC_2.14)(64bit);libc.so.6(GLIBC_2.2.5)(64bit);libc.so.6(GLIBC_2.25)(64bit);libc.so.6(GLIBC_2.3)(64bit);libc.so.6(GLIBC_2.3.2)(64bit);libc.so.6(GLIBC_2.3.4)(64bit);libc.so.6(GLIBC_2.32)(64bit);libc.so.6(GLIBC_2.33)(64bit);libc.so.6(GLIBC_2.34)(64bit);libc.so.6(GLIBC_2.38)(64bit);libc.so.6(GLIBC_2.4)(64bit);libc.so.6(GLIBC_2.7)(64bit);libc.so.6(GLIBC_ABI_DT_RELR)(64bit);libgcrypt.so.20()(64bit);libgcrypt.so.20(GCRYPT_1.6)(64bit);libgpg-error.so.0()(64bit);libgpg-error.so.0(GPG_ERROR_1.0)(64bit);libksba.so.8()(64bit);libksba.so.8(KSBA_0.9)(64bit);libnpth.so.0()(64bit);libnpth.so.0(NPTH_1.0)(64bit);libreadline.so.8()(64bit);rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;rtld(GNU_HASH)"
"gnutls-3.8.10-1.fc42.x86_64.rpm","bundled(gnulib) = 20130424;gnutls = 3.8.10-1.fc42;gnutls(x86-64) = 3.8.10-1.fc42;libgnutls.so.30()(64bit);libgnutls.so.30(GNUTLS_3_4)(64bit);libgnutls.so.30(GNUTLS_3_6_0)(64bit);libgnutls.so.30(GNUTLS_3_6_10)(64bit);libgnutls.so.30(GNUTLS_3_6_12)(64bit);libgnutls.so.30(GNUTLS_3_6_13)(64bit);libgnutls.so.30(GNUTLS_3_6_14)(64bit);libgnutls.so.30(GNUTLS_3_6_2)(64bit);libgnutls.so.30(GNUTLS_3_6_3)(64bit);libgnutls.so.30(GNUTLS_3_6_4)(64bit);libgnutls.so.30(GNUTLS_3_6_5)(64bit);libgnutls.so.30(GNUTLS_3_6_6)(64bit);libgnutls.so.30(GNUTLS_3_6_8)(64bit);libgnutls.so.30(GNUTLS_3_6_9)(64bit);libgnutls.so.30(GNUTLS_3_7_0)(64bit);libgnutls.so.30(GNUTLS_3_7_2)(64bit);libgnutls.so.30(GNUTLS_3_7_3)(64bit);libgnutls.so.30(GNUTLS_3_7_4)(64bit);libgnutls.so.30(GNUTLS_3_7_5)(64bit);libgnutls.so.30(GNUTLS_3_7_7)(64bit);libgnutls.so.30(GNUTLS_3_8_1)(64bit);libgnutls.so.30(GNUTLS_3_8_2)(64bit);libgnutls.so.30(GNUTLS_3_8_4)(64bit);libgnutls.so.30(GNUTLS_3_8_6)(64bit);libgnutls.so.30(GNUTLS_FIPS140_3_4)(64bit);libgnutls.so.30(GNUTLS_PRIVATE_3_4)(64bit)","crypto-policies;libc.so.6()(64bit);libc.so.6(GLIBC_2.14)(64bit);libc.so.6(GLIBC_2.17)(64bit);libc.so.6(GLIBC_2.2.5)(64bit);libc.so.6(GLIBC_2.25)(64bit);libc.so.6(GLIBC_2.3)(64bit);libc.so.6(GLIBC_2.3.2)(64bit);libc.so.6(GLIBC_2.3.4)(64bit);libc.so.6(GLIBC_2.33)(64bit);libc.so.6(GLIBC_2.34)(64bit);libc.so.6(GLIBC_2.38)(64bit);libc.so.6(GLIBC_2.4)(64bit);libc.so.6(GLIBC_2.7)(64bit);libc.so.6(GLIBC_2.8)(64bit);libc.so.6(GLIBC_ABI_DT_RELR)(64bit);libgmp.so.10()(64bit);libhogweed.so.6()(64bit);libhogweed.so.6(HOGWEED_6)(64bit);libidn2.so.0()(64bit);libidn2.so.0(IDN2_0.0.0)(64bit);libnettle.so.8()(64bit);libnettle.so.8(NETTLE_8)(64bit);libp11-kit.so.0()(64bit);libp11-kit.so.0(LIBP11_KIT_1.0)(64bit);libtasn1 >= 4.3;libtasn1.so.6()(64bit);libtasn1.so.6(LIBTASN1_0_3)(64bit);libunistring.so.5()(64bit);nettle >= 3.10;p11-kit-trust;rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;rtld(GNU_HASH)"
"gobject-introspection-1.84.0-1.fc42.x86_64.rpm","gobject-introspection = 1.84.0-1.fc42;gobject-introspection(x86-64) = 1.84.0-1.fc42;libgirepository-1.0.so.1()(64bit)","glib2(x86-64) >= 2.80.0;libc.so.6()(64bit);libc.so.6(GLIBC_2.14)(64bit);libc.so.6(GLIBC_2.2.5)(64bit);libc.so.6(GLIBC_2.4)(64bit);libc.so.6(GLIBC_ABI_DT_RELR)(64bit);libffi.so.8()(64bit);libffi.so.8(LIBFFI_BASE_8.0)(64bit);libffi.so.8(LIBFFI_CLOSURE_8.0)(64bit);libglib-2.0.so.0()(64bit);libgmodule-2.0.so.0()(64bit);libgobject-2.0.so.0()(64bit);libm.so.6()(64bit);libm.so.6(GLIBC_2.29)(64bit);rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;rtld(GNU_HASH)"
"gpgme-1.24.3-1.fc42.x86_64.rpm","gpgme = 1.24.3-1.fc42;gpgme(x86-64) = 1.24.3-1.fc42;libgpgme.so.11()(64bit);libgpgme.so.11(GPGME_1.0)(64bit);libgpgme.so.11(GPGME_1.1)(64bit)","gnupg2 >= 2.2.24;libassuan.so.0()(64bit);libassuan.so.0(LIBASSUAN_1.0)(64bit);libc.so.6()(64bit);libc.so.6(GLIBC_2.14)(64bit);libc.so.6(GLIBC_2.16)(64bit);libc.so.6(GLIBC_2.2.5)(64bit);libc.so.6(GLIBC_2.28)(64bit);libc.so.6(GLIBC_2.3)(64bit);libc.so.6(GLIBC_2.3.4)(64bit);libc.so.6(GLIBC_2.30)(64bit);libc.so.6(GLIBC_2.33)(64bit);libc.so.6(GLIBC_2.34)(64bit);libc.so.6(GLIBC_2.38)(64bit);libc.so.6(GLIBC_2.4)(64bit);libc.so.6(GLIBC_ABI_DT_RELR)(64bit);libgpg-error.so.0()(64bit);libgpg-error.so.0(GPG_ERROR_1.0)(64bit);libgpgme.so.11()(64bit);libgpgme.so.11(GPGME_1.0)(64bit);libgpgme.so.11(GPGME_1.1)(64bit);libm.so.6()(64bit);libm.so.6(GLIBC_2.2.5)(64bit);libm.so.6(GLIBC_2.29)(64bit);rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;rtld(GNU_HASH)"
"grep-3.11-10.fc42.x86_64.rpm","/bin/egrep;/bin/fgrep;/bin/grep;bundled(gnulib);config(grep) = 3.11-10.fc42;grep = 3.11-10.fc42;grep(x86-64) = 3.11-10.fc42","/usr/bin/sh;config(grep) = 3.11-10.fc42;libc.so.6()(64bit);libc.so.6(GLIBC_2.14)(64bit);libc.so.6(GLIBC_2.2.5)(64bit);libc.so.6(GLIBC_2.26)(64bit);libc.so.6(GLIBC_2.3)(64bit);libc.so.6(GLIBC_2.3.4)(64bit);libc.so.6(GLIBC_2.33)(64bit);libc.so.6(GLIBC_2.34)(64bit);libc.so.6(GLIBC_2.38)(64bit);libc.so.6(GLIBC_2.4)(64bit);libc.so.6(GLIBC_2.5)(64bit);libc.so.6(GLIBC_ABI_DT_RELR)(64bit);libpcre2-8.so.0()(64bit);rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;rtld(GNU_HASH)"
"grub2-common-2.12-32.fc42.noarch.rpm","grub2-common = 1:2.12-32.fc42","/bin/sh;/usr/bin/bash;coreutils;grep;rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;util-linux-core"
"grub2-efi-x64-2.12-32.fc42.x86_64.rpm","config(grub2-efi-x64) = 1:2.12-32.fc42;grub2-efi = 1:2.12-32.fc42;grub2-efi-x64 = 1:2.12-32.fc42;grub2-efi-x64(x86-64) = 1:2.12-32.fc42","config(grub2-efi-x64) = 1:2.12-32.fc42;efi-filesystem;grub2-common = 1:2.12-32.fc42;grub2-tools = 1:2.12-32.fc42;grub2-tools-minimal >= 1:2.12-32.fc42;rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1"
"grub2-tools-2.12-32.fc42.x86_64.rpm","config(grub2-tools) = 1:2.12-32.fc42;grub2-tools = 1:2.12-32.fc42;grub2-tools(x86-64) = 1:2.12-32.fc42","/bin/sh;/bin/sh;/bin/sh;/bin/sh;/bin/sh;/usr/bin/sh;config(grub2-tools) = 1:2.12-32.fc42;dracut;file;filesystem(unmerged-sbin-symlinks);gettext-runtime;grep;grub2-common = 1:2.12-32.fc42;libc.so.6()(64bit);libc.so.6(GLIBC_2.14)(64bit);libc.so.6(GLIBC_2.2.5)(64bit);libc.so.6(GLIBC_2.26)(64bit);libc.so.6(GLIBC_2.28)(64bit);libc.so.6(GLIBC_2.3)(64bit);libc.so.6(GLIBC_2.3.3)(64bit);libc.so.6(GLIBC_2.33)(64bit);libc.so.6(GLIBC_2.34)(64bit);libc.so.6(GLIBC_2.38)(64bit);libc.so.6(GLIBC_2.4)(64bit);libc.so.6(GLIBC_ABI_DT_RELR)(64bit);libdevmapper.so.1.02()(64bit);libdevmapper.so.1.02(Base)(64bit);libdevmapper.so.1.02(DM_1_02_197)(64bit);liblzma.so.5()(64bit);liblzma.so.5(XZ_5.0)(64bit);os-prober;rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;rtld(GNU_HASH);sed;systemd;systemd;systemd"
"grub2-tools-minimal-2.12-32.fc42.x86_64.rpm","config(grub2-tools-minimal) = 1:2.12-32.fc42;grub2-tools-minimal = 1:2.12-32.fc42;grub2-tools-minimal(x86-64) = 1:2.12-32.fc42","/usr/bin/sh;config(grub2-tools-minimal) = 1:2.12-32.fc42;filesystem(unmerged-sbin-symlinks);gettext-runtime;grub2-common = 1:2.12-32.fc42;libc.so.6()(64bit);libc.so.6(GLIBC_2.14)(64bit);libc.so.6(GLIBC_2.2.5)(64bit);libc.so.6(GLIBC_2.26)(64bit);libc.so.6(GLIBC_2.28)(64bit);libc.so.6(GLIBC_2.3)(64bit);libc.so.6(GLIBC_2.3.3)(64bit);libc.so.6(GLIBC_2.33)(64bit);libc.so.6(GLIBC_2.34)(64bit);libc.so.6(GLIBC_2.38)(64bit);libc.so.6(GLIBC_2.4)(64bit);libc.so.6(GLIBC_ABI_DT_RELR)(64bit);libdevmapper.so.1.02()(64bit);libdevmapper.so.1.02(Base)(64bit);libdevmapper.so.1.02(DM_1_02_197)(64bit);libfuse3.so.3()(64bit);libfuse3.so.3(FUSE_3.0)(64bit);liblzma.so.5()(64bit);liblzma.so.5(XZ_5.0)(64bit);rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;rtld(GNU_HASH)"
"grubby-8.40-82.fc42.x86_64.rpm","grubby = 8.40-82.fc42;grubby(x86-64) = 8.40-82.fc42","/bin/bash;/bin/sh;/usr/bin/bash;filesystem(unmerged-sbin-symlinks);findutils;grub2-tools;grub2-tools-minimal;rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;util-linux"
"gzip-1.13-3.fc42.x86_64.rpm","/bin/gunzip;/bin/gzip;/bin/zcat;bundled(gnulib);gzip = 1.13-3.fc42;gzip(x86-64) = 1.13-3.fc42","/usr/bin/sh;coreutils;libc.so.6()(64bit);libc.so.6(GLIBC_2.14)(64bit);libc.so.6(GLIBC_2.17)(64bit);libc.so.6(GLIBC_2.2.5)(64bit);libc.so.6(GLIBC_2.3)(64bit);libc.so.6(GLIBC_2.3.4)(64bit);libc.so.6(GLIBC_2.33)(64bit);libc.so.6(GLIBC_2.34)(64bit);libc.so.6(GLIBC_2.38)(64bit);libc.so.6(GLIBC_2.4)(64bit);libc.so.6(GLIBC_2.6)(64bit);libc.so.6(GLIBC_ABI_DT_RELR)(64bit);rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;rtld(GNU_HASH)"
"hiredis-1.2.0-6.fc42.x86_64.rpm","hiredis = 1.2.0-6.fc42;hiredis(x86-64) = 1.2.0-6.fc42;libhiredis.so.1.1.0()(64bit);libhiredis_ssl.so.1.1.0()(64bit)","libc.so.6()(64bit);libc.so.6(GLIBC_2.14)(64bit);libc.so.6(GLIBC_2.2.5)(64bit);libc.so.6(GLIBC_2.3)(64bit);libc.so.6(GLIBC_2.3.4)(64bit);libc.so.6(GLIBC_2.4)(64bit);libc.so.6(GLIBC_ABI_DT_RELR)(64bit);libcrypto.so.3()(64bit);libcrypto.so.3(OPENSSL_3.0.0)(64bit);libssl.so.3()(64bit);libssl.so.3(OPENSSL_3.0.0)(64bit);rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;rtld(GNU_HASH)"
"ima-evm-utils-libs-1.6.2-4.fc42.x86_64.rpm","ima-evm-utils-libs = 1.6.2-4.fc42;ima-evm-utils-libs(x86-64) = 1.6.2-4.fc42;libimaevm.so.5()(64bit)","libc.so.6()(64bit);libc.so.6(GLIBC_2.2.5)(64bit);libc.so.6(GLIBC_2.3.4)(64bit);libc.so.6(GLIBC_2.33)(64bit);libc.so.6(GLIBC_2.4)(64bit);libc.so.6(GLIBC_2.7)(64bit);libc.so.6(GLIBC_ABI_DT_RELR)(64bit);libcrypto.so.3()(64bit);libcrypto.so.3(OPENSSL_3.0.0)(64bit);libtss2-esys.so.0()(64bit);libtss2-rc.so.0()(64bit);rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;rtld(GNU_HASH)"
"initial-setup-0.3.101-2.fc42.x86_64.rpm","config(initial-setup) = 0.3.101-2.fc42;initial-setup = 0.3.101-2.fc42;initial-setup(x86-64) = 0.3.101-2.fc42;python3.13dist(initial-setup) = 0.3.101;python3dist(initial-setup) = 0.3.101","/bin/sh;/bin/sh;/bin/sh;/usr/bin/bash;/usr/bin/python3;/usr/bin/python3;anaconda-tui >= 37.8-1;config(initial-setup) = 0.3.101-2.fc42;libxkbcommon;python(abi) = 3.13;python3-simpleline >= 1.4;rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PartialHardlinkSets) <= 4.0.4-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;systemd;systemd;systemd;systemd >= 235;util-linux"
"intel-audio-firmware-20250808-1.fc42.noarch.rpm","intel-audio-firmware = 20250808-1.fc42","linux-firmware-whence = 20250808-1.fc42;rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1"
"intel-gpu-firmware-20250808-1.fc42.noarch.rpm","intel-gpu-firmware = 20250808-1.fc42","linux-firmware-whence = 20250808-1.fc42;rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1"
"iputils-20250605-1.fc42.x86_64.rpm","/bin/ping;/bin/ping6;/sbin/arping;iputils = 20250605-1.fc42;iputils(x86-64) = 20250605-1.fc42","filesystem(unmerged-sbin-symlinks);libc.so.6()(64bit);libc.so.6(GLIBC_2.11)(64bit);libc.so.6(GLIBC_2.14)(64bit);libc.so.6(GLIBC_2.15)(64bit);libc.so.6(GLIBC_2.17)(64bit);libc.so.6(GLIBC_2.2.5)(64bit);libc.so.6(GLIBC_2.3)(64bit);libc.so.6(GLIBC_2.3.4)(64bit);libc.so.6(GLIBC_2.34)(64bit);libc.so.6(GLIBC_2.38)(64bit);libc.so.6(GLIBC_2.4)(64bit);libc.so.6(GLIBC_2.7)(64bit);libc.so.6(GLIBC_2.8)(64bit);libc.so.6(GLIBC_ABI_DT_RELR)(64bit);libcap.so.2()(64bit);libidn2.so.0()(64bit);libidn2.so.0(IDN2_0.0.0)(64bit);rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileCaps) <= 4.6.1-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;rtld(GNU_HASH)"
"jansson-2.14-2.fc42.x86_64.rpm","jansson = 2.14-2.fc42;jansson(x86-64) = 2.14-2.fc42;libjansson.so.4()(64bit);libjansson.so.4(libjansson.so.4)(64bit)","libc.so.6()(64bit);libc.so.6(GLIBC_2.14)(64bit);libc.so.6(GLIBC_2.2.5)(64bit);libc.so.6(GLIBC_2.3.4)(64bit);libc.so.6(GLIBC_2.38)(64bit);libc.so.6(GLIBC_2.4)(64bit);libc.so.6(GLIBC_ABI_DT_RELR)(64bit);rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;rtld(GNU_HASH)"
"json-c-0.18-2.fc42.i686.rpm","json-c = 0.18-2.fc42;json-c(x86-32) = 0.18-2.fc42;libjson-c.so.5;libjson-c.so.5(JSONC_0.14);libjson-c.so.5(JSONC_0.15);libjson-c.so.5(JSONC_0.16);libjson-c.so.5(JSONC_0.17);libjson-c.so.5(JSONC_0.18);libjson-c.so.5(JSONC_PRIVATE)","ld-linux.so.2;ld-linux.so.2(GLIBC_2.3);libc.so.6;libc.so.6(GLIBC_2.0);libc.so.6(GLIBC_2.1.3);libc.so.6(GLIBC_2.3);libc.so.6(GLIBC_2.3.4);libc.so.6(GLIBC_2.36);libc.so.6(GLIBC_2.38);libc.so.6(GLIBC_2.4);libc.so.6(GLIBC_2.8);libc.so.6(GLIBC_ABI_DT_RELR);rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;rtld(GNU_HASH)"
"json-c-0.18-2.fc42.x86_64.rpm","json-c = 0.18-2.fc42;json-c(x86-64) = 0.18-2.fc42;libjson-c.so.5()(64bit);libjson-c.so.5(JSONC_0.14)(64bit);libjson-c.so.5(JSONC_0.15)(64bit);libjson-c.so.5(JSONC_0.16)(64bit);libjson-c.so.5(JSONC_0.17)(64bit);libjson-c.so.5(JSONC_0.18)(64bit);libjson-c.so.5(JSONC_PRIVATE)(64bit)","libc.so.6()(64bit);libc.so.6(GLIBC_2.14)(64bit);libc.so.6(GLIBC_2.2.5)(64bit);libc.so.6(GLIBC_2.3)(64bit);libc.so.6(GLIBC_2.3.4)(64bit);libc.so.6(GLIBC_2.36)(64bit);libc.so.6(GLIBC_2.38)(64bit);libc.so.6(GLIBC_2.4)(64bit);libc.so.6(GLIBC_2.8)(64bit);libc.so.6(GLIBC_ABI_DT_RELR)(64bit);rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;rtld(GNU_HASH)"
"json-glib-1.10.6-2.fc42.x86_64.rpm","json-glib = 1.10.6-2.fc42;json-glib(x86-64) = 1.10.6-2.fc42;libjson-glib-1.0.so.0()(64bit);libjson-glib-1.0.so.0(libjson-glib-1.0.so.0)(64bit)","glib2(x86-64) >= 2.72.0;libc.so.6()(64bit);libc.so.6(GLIBC_2.14)(64bit);libc.so.6(GLIBC_2.2.5)(64bit);libc.so.6(GLIBC_2.4)(64bit);libc.so.6(GLIBC_ABI_DT_RELR)(64bit);libgio-2.0.so.0()(64bit);libglib-2.0.so.0()(64bit);libgobject-2.0.so.0()(64bit);rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;rtld(GNU_HASH)"
"kbd-2.7.1-3.fc42.x86_64.rpm","config(kbd) = 2.7.1-3.fc42;kbd = 2.7.1-3.fc42;kbd(x86-64) = 2.7.1-3.fc42;vlock = 2.7.1","/usr/bin/sh;config(kbd) = 2.7.1-3.fc42;kbd-legacy = 2.7.1-3.fc42;kbd-misc = 2.7.1-3.fc42;libc.so.6()(64bit);libc.so.6(GLIBC_2.14)(64bit);libc.so.6(GLIBC_2.2.5)(64bit);libc.so.6(GLIBC_2.3)(64bit);libc.so.6(GLIBC_2.3.4)(64bit);libc.so.6(GLIBC_2.33)(64bit);libc.so.6(GLIBC_2.34)(64bit);libc.so.6(GLIBC_2.38)(64bit);libc.so.6(GLIBC_2.4)(64bit);libc.so.6(GLIBC_ABI_DT_RELR)(64bit);libpam.so.0()(64bit);libpam.so.0(LIBPAM_1.0)(64bit);libpam_misc.so.0()(64bit);libpam_misc.so.0(LIBPAM_MISC_1.0)(64bit);rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1;rtld(GNU_HASH)"
"kbd-legacy-2.7.1-3.fc42.noarch.rpm","kbd-legacy = 2.7.1-3.fc42","rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1"
"kbd-misc-2.7.1-3.fc42.noarch.rpm","kbd-misc = 2.7.1-3.fc42","rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsZstd) <= 5.4.18-1"
"kernel-6.16.7-200.fc42.x86_64.rpm","installonlypkg(kernel);kernel = 6.16.7-200.fc42;kernel(x86-64) = 6.16.7-200.fc42","((kernel-modules-extra-uname-r = 6.16.7-200.fc42.x86_64) if kernel-modules-extra-matched);kernel-core-uname-r = 6.16.7-200.fc42.x86_64;kernel-modules-core-uname-r = 6.16.7-200.fc42.x86_64;kernel-modules-uname-r = 6.16.7-200.fc42.x86_64;rpmlib(CompressedFileNames) <= 3.0.4-1;rpmlib(FileDigests) <= 4.6.0-1;rpmlib(PayloadFilesHavePrefix) <= 4.0-1;rpmlib(PayloadIsXz) <= 5.2-1;rpmlib(RichDependencies) <= 4.12.0-1"
